style,generated_images,matching_labels
Oil-Painting,5999,5999
Sketching,5999,5999
Line-Art,5999,5999
Crayon-Drawing,5999,5999
Chinese-Painting,5999,5999
Ghibli-Anime,5999,5999
American-Comics,5999,5999
Chibi-Comics,6000,6000
Painterly-Anime,5999,5999
Pixel-Art,5999,5999
3D-Modeling,6000,6000
Post-Apocalyptic,5999,5999
Science-Fiction,5999,5999
Cyberpunk,5999,5999
AAA-Game-Scene,5997,5997
Paper-Cutting,6000,6000
Stained-Glass,6000,6000
Building-Blocks,6000,6000
Collage,5999,5999
Textile-Art,5999,5999
Total,119983,119983
