model,corruption,severity,map50,map50_95,AP50_95_Car
cityscapes-21-ema,Clean,0,0.643790066242218,0.37490567564964294,0.5265852212905884
cityscapes-21-ema,gaussian_noise,1,0.4904829263687134,0.2723091244697571,0.4470224380493164
cityscapes-21-ema,gaussian_noise,2,0.36173853278160095,0.19503621757030487,0.36710891127586365
cityscapes-21-ema,gaussian_noise,3,0.2008507251739502,0.10429559648036957,0.22726619243621826
cityscapes-21-ema,gaussian_noise,4,0.07823177427053452,0.037130970507860184,0.0894412249326706
cityscapes-21-ema,gaussian_noise,5,0.013471715152263641,0.007860374636948109,0.01830429956316948
cityscapes-21-ema,shot_noise,1,0.5430763959884644,0.3079352080821991,0.4777909815311432
cityscapes-21-ema,shot_noise,2,0.4298061728477478,0.23536385595798492,0.41789647936820984
cityscapes-21-ema,shot_noise,3,0.282479465007782,0.15213146805763245,0.30921670794487
cityscapes-21-ema,shot_noise,4,0.08960746973752975,0.04616143926978111,0.11962077766656876
cityscapes-21-ema,shot_noise,5,0.020646262913942337,0.010797972790896893,0.03563417121767998
cityscapes-21-ema,impulse_noise,1,0.40309107303619385,0.22337888181209564,0.3983101546764374
cityscapes-21-ema,impulse_noise,2,0.26579686999320984,0.14361132681369781,0.2940319776535034
cityscapes-21-ema,impulse_noise,3,0.18509294092655182,0.09645438194274902,0.2111039161682129
cityscapes-21-ema,impulse_noise,4,0.06608201563358307,0.031630367040634155,0.08063073456287384
cityscapes-21-ema,impulse_noise,5,0.01300516352057457,0.006846124306321144,0.020750442519783974
cityscapes-21-ema,defocus_blur,1,0.5919793844223022,0.3428264260292053,0.5020086169242859
cityscapes-21-ema,defocus_blur,2,0.5501394271850586,0.31417614221572876,0.48202934861183167
cityscapes-21-ema,defocus_blur,3,0.45452049374580383,0.2554667294025421,0.42451387643814087
cityscapes-21-ema,defocus_blur,4,0.3615274131298065,0.1976119428873062,0.35664841532707214
cityscapes-21-ema,defocus_blur,5,0.2714533805847168,0.14463825523853302,0.2850630581378937
cityscapes-21-ema,glass_blur,1,0.6100389957427979,0.3489033877849579,0.4947803318500519
cityscapes-21-ema,glass_blur,2,0.556199312210083,0.3182031214237213,0.4855279326438904
cityscapes-21-ema,glass_blur,3,0.4230661988258362,0.22421887516975403,0.3825215995311737
cityscapes-21-ema,glass_blur,4,0.360007643699646,0.19297726452350616,0.35008302330970764
cityscapes-21-ema,glass_blur,5,0.280271977186203,0.14646127820014954,0.2909376919269562
cityscapes-21-ema,motion_blur,1,0.6036381721496582,0.34764963388442993,0.5008155703544617
cityscapes-21-ema,motion_blur,2,0.5519037842750549,0.3059156835079193,0.46533775329589844
cityscapes-21-ema,motion_blur,3,0.45543617010116577,0.24034762382507324,0.39293351769447327
cityscapes-21-ema,motion_blur,4,0.32268720865249634,0.16003599762916565,0.2993391156196594
cityscapes-21-ema,motion_blur,5,0.23489820957183838,0.11312732100486755,0.23176118731498718
cityscapes-21-ema,zoom_blur,1,0.19405482709407806,0.08324355632066727,0.1963789463043213
cityscapes-21-ema,zoom_blur,2,0.1138148307800293,0.04567988961935043,0.1145770400762558
cityscapes-21-ema,zoom_blur,3,0.08033158630132675,0.03385403752326965,0.08684684336185455
cityscapes-21-ema,zoom_blur,4,0.049025535583496094,0.01969347894191742,0.05724039673805237
cityscapes-21-ema,zoom_blur,5,0.048604320734739304,0.020094009116292,0.05777672305703163
cityscapes-21-ema,snow,1,0.30723610520362854,0.1586969792842865,0.3205655813217163
cityscapes-21-ema,snow,2,0.12341819703578949,0.06218504160642624,0.15664738416671753
cityscapes-21-ema,snow,3,0.08363985270261765,0.03912082314491272,0.1064562126994133
cityscapes-21-ema,snow,4,0.029255609959363937,0.013880171813070774,0.05048898607492447
cityscapes-21-ema,snow,5,0.05393203720450401,0.026478298008441925,0.0729040876030922
cityscapes-21-ema,frost,1,0.5732555985450745,0.3226143419742584,0.4834158420562744
cityscapes-21-ema,frost,2,0.43327027559280396,0.23177753388881683,0.39101094007492065
cityscapes-21-ema,frost,3,0.3484494388103485,0.18274611234664917,0.3094770014286041
cityscapes-21-ema,frost,4,0.30733776092529297,0.16154904663562775,0.2983097732067108
cityscapes-21-ema,frost,5,0.2291252613067627,0.11682490259408951,0.24110782146453857
cityscapes-21-ema,fog,1,0.6199935078620911,0.35900261998176575,0.5163428783416748
cityscapes-21-ema,fog,2,0.6123901605606079,0.355206698179245,0.5122010111808777
cityscapes-21-ema,fog,3,0.6071549654006958,0.3502451181411743,0.5084656476974487
cityscapes-21-ema,fog,4,0.6026045083999634,0.3470466434955597,0.5056043863296509
cityscapes-21-ema,fog,5,0.5795387029647827,0.3336663842201233,0.49515941739082336
cityscapes-21-ema,brightness,1,0.6461775898933411,0.37482964992523193,0.5263224840164185
cityscapes-21-ema,brightness,2,0.6461647748947144,0.3717993199825287,0.5244746208190918
cityscapes-21-ema,brightness,3,0.6397584676742554,0.36687982082366943,0.5225613117218018
cityscapes-21-ema,brightness,4,0.6328515410423279,0.35971659421920776,0.5175567269325256
cityscapes-21-ema,brightness,5,0.6221027374267578,0.35108494758605957,0.5131618976593018
cityscapes-21-ema,contrast,1,0.6263182759284973,0.36349719762802124,0.5187954902648926
cityscapes-21-ema,contrast,2,0.6166192889213562,0.3561612367630005,0.5134457349777222
cityscapes-21-ema,contrast,3,0.5970273613929749,0.3422558903694153,0.5030435919761658
cityscapes-21-ema,contrast,4,0.5502439141273499,0.31016772985458374,0.4779563546180725
cityscapes-21-ema,contrast,5,0.45568394660949707,0.24679532647132874,0.42430925369262695
cityscapes-21-ema,elastic_transform,1,0.6405705213546753,0.37101301550865173,0.5209296941757202
cityscapes-21-ema,elastic_transform,2,0.6371400356292725,0.36417990922927856,0.5167776942253113
cityscapes-21-ema,elastic_transform,3,0.6277130842208862,0.3632507026195526,0.5098955035209656
cityscapes-21-ema,elastic_transform,4,0.622595489025116,0.3563731908798218,0.5033497214317322
cityscapes-21-ema,elastic_transform,5,0.6073601841926575,0.34329718351364136,0.4910770058631897
cityscapes-21-ema,jpeg_compression,1,0.5956612825393677,0.34231868386268616,0.5058758854866028
cityscapes-21-ema,jpeg_compression,2,0.5747142434120178,0.327606737613678,0.4947538375854492
cityscapes-21-ema,jpeg_compression,3,0.5654131770133972,0.3207579255104065,0.48588278889656067
cityscapes-21-ema,jpeg_compression,4,0.5028202533721924,0.2807443141937256,0.4600328803062439
cityscapes-21-ema,jpeg_compression,5,0.44599711894989014,0.24144598841667175,0.43236106634140015
cityscapes-21-ema,pixelate,1,0.6361327171325684,0.37015485763549805,0.5219252109527588
cityscapes-21-ema,pixelate,2,0.6360457539558411,0.37201228737831116,0.523133397102356
cityscapes-21-ema,pixelate,3,0.609989583492279,0.35240161418914795,0.5088251233100891
cityscapes-21-ema,pixelate,4,0.5621668100357056,0.3210888206958771,0.4919990301132202
cityscapes-21-ema,pixelate,5,0.49407848715782166,0.2736475169658661,0.4606075882911682
