source,style,retained_images,missing_views
Cityscapes,AAA-Game-Scene,2975,0
Cityscapes,3D-Modeling,2975,0
Cityscapes,Ghibli-Anime,2975,0
Cityscapes,Origin,2975,0
Cityscapes,Chibi-Comics,2974,1
Cityscapes,Textile-Art,2974,1
Cityscapes,Paper-Cutting,2974,1
Cityscapes,Post-Apocalyptic,2974,1
Cityscapes,Stained-Glass,2974,1
Cityscapes,Chinese-Painting,2974,1
Cityscapes,Line-Art,2974,1
Cityscapes,Painterly-Anime,2975,0
Cityscapes,Building-Blocks,2974,1
Cityscapes,Science-Fiction,2975,0
Cityscapes,Crayon-Drawing,2975,0
Cityscapes,American-Comics,2974,1
Cityscapes,Pixel-Art,2975,0
Cityscapes,Cyberpunk,2975,0
Cityscapes,Collage,2974,1
Cityscapes,Sketching,2974,1
Cityscapes,Oil-Painting,2974,1
RealDriveSim,AAA-Game-Scene,5997,3
RealDriveSim,3D-Modeling,6000,0
RealDriveSim,Ghibli-Anime,5999,1
RealDriveSim,Origin,6000,0
RealDriveSim,Chibi-Comics,6000,0
RealDriveSim,Textile-Art,5999,1
RealDriveSim,Paper-Cutting,6000,0
RealDriveSim,Post-Apocalyptic,5999,1
RealDriveSim,Stained-Glass,6000,0
RealDriveSim,Chinese-Painting,5999,1
RealDriveSim,Line-Art,5999,1
RealDriveSim,Painterly-Anime,5999,1
RealDriveSim,Building-Blocks,6000,0
RealDriveSim,Science-Fiction,5999,1
RealDriveSim,Crayon-Drawing,5999,1
RealDriveSim,American-Comics,5999,1
RealDriveSim,Pixel-Art,5999,1
RealDriveSim,Cyberpunk,5999,1
RealDriveSim,Collage,5999,1
RealDriveSim,Sketching,5999,1
RealDriveSim,Oil-Painting,5999,1
