model,epoch,loss,lr
cityscapes-21-ema,1,1.3080701494128795,0.007442560000000001
cityscapes-21-ema,2,1.0725099688786413,0.007442560000000001
cityscapes-21-ema,3,0.9761928735621354,0.007442560000000001
cityscapes-21-ema,4,0.9384765680729141,0.007442560000000001
cityscapes-21-ema,5,0.9094838846064303,0.007442560000000001
cityscapes-21-ema,6,0.889638555065919,0.007442560000000001
cityscapes-21-ema,7,0.8755613762424678,0.007442560000000001
cityscapes-21-ema,8,0.8556402046233416,0.007442560000000001
cityscapes-21-ema,9,0.8444492884821468,0.007442560000000001
cityscapes-21-ema,10,0.8328068444645533,0.007442560000000001
cityscapes-21-ema,11,0.8214956454692348,0.007442560000000001
cityscapes-21-ema,12,0.8162293761207532,0.007442560000000001
cityscapes-21-ema,13,0.8054696897205006,0.007442560000000001
cityscapes-21-ema,14,0.7999859179910873,0.007442560000000001
cityscapes-21-ema,15,0.7965266242703443,0.007442560000000001
cityscapes-21-ema,16,0.7872530022055231,0.007442560000000001
cityscapes-21-ema,17,0.7873316793602401,0.007442560000000001
cityscapes-21-ema,18,0.7783208688000037,0.0007442560000000001
cityscapes-21-ema,19,0.7104476635739888,0.0007442560000000001
cityscapes-21-ema,20,0.7006996301884052,0.0007442560000000001
cityscapes-21-ema,21,0.6948544879554099,0.0007442560000000001
cityscapes-21-ema,22,0.6927607024228701,0.0007442560000000001
cityscapes-21-ema,23,0.690821671097349,0.0007442560000000001
cityscapes-21-ema,24,0.6867091679114408,7.442560000000002e-05
cityscapes-21-ema,25,0.6789124019291272,7.442560000000002e-05
cityscapes-21-ema,26,0.6775228002819643,7.442560000000002e-05
cityscapes-21-ema,27,0.6793533124890859,7.442560000000002e-05
realdrivesim-21-ema-endpoint,1,1.3315178315378726,0.01
realdrivesim-21-ema-endpoint,2,1.057279081813991,0.01
realdrivesim-21-ema-endpoint,3,0.9890394435922305,0.01
realdrivesim-21-ema-endpoint,4,0.9503854072193305,0.01
realdrivesim-21-ema-endpoint,5,0.9209075259044767,0.01
realdrivesim-21-ema-endpoint,6,0.9008998256276051,0.01
realdrivesim-21-ema-endpoint,7,0.8838109967317432,0.01
realdrivesim-21-ema-endpoint,8,0.8800132054959734,0.001
realdrivesim-21-ema-endpoint,9,0.7824645286413531,0.001
realdrivesim-21-ema-endpoint,10,0.7664898277161022,0.001
realdrivesim-21-ema-endpoint,11,0.7597165943458676,0.0001
realdrivesim-21-ema-endpoint,12,0.7486897736514608,0.0001
realdrivesim-21-ema-endpoint,13,0.745753260259827,0.0001
